MJD_OBS	MAG_PSF	MAGERR_PSF	BAND
56545.2972197	20.4838562012	0.010515652597	g
56537.2544708	19.4830150604	0.00633291248232	g
56543.1739911	19.637796402	0.00630004378036	g
56546.2665956	20.5137481689	0.0100529789925	g
57332.0345852	20.4438419342	0.0131728257984	g
57334.0426329	19.9475364685	0.00720637990162	g
56565.1108753	19.9623470306	0.00683409906924	r
56958.122333	19.4190940857	0.0063630240038	r
56604.1330321	19.7793807983	0.00824756547809	r
56619.0806072	20.1944675446	0.00869840197265	r
57332.031839	20.1473522186	0.0114672919735	r
56565.112333	19.9008388519	0.00779558578506	i
56578.0853395	19.8277797699	0.00931170489639	i
56577.0858952	19.9428482056	0.00902266614139	i
57332.0332132	20.0417671204	0.0151798194274	i
56576.1075148	20.0333843231	0.0122238239273	z
56578.0590224	19.7354984283	0.0132335545495	z
56577.1056645	19.9544353485	0.0133618805557	z
56944.1999538	19.9822483063	0.0772562995553	Y
56547.1241695	19.822435379	0.0644315108657	Y
57318.0278737	20.273771286	0.138580083847	Y
56559.2607373	20.0872535706	0.0648295655847	Y
57294.164375	20.1172485352	0.0829673558474	Y
